id,city_en,prefecture_en
1100,Sapporo,Hokkaido
1101,"Chuo-ku, Sapporo",Hokkaido
1102,"Kita-ku, Sapporo",Hokkaido
1103,"Higashi-ku, Sapporo",Hokkaido
1104,"Shiroishi-ku, Sapporo",Hokkaido
1105,"Toyohira-ku, Sapporo",Hokkaido
1106,"Minami-ku, Sapporo",Hokkaido
1107,"Nishi-ku, Sapporo",Hokkaido
1108,"Atsubetsu-ku, Sapporo",Hokkaido
1109,"Teine-ku, Sapporo",Hokkaido
1110,"Kiyota-ku, Sapporo",Hokkaido
1202,Hakodate,Hokkaido
1203,Otaru,Hokkaido
1204,Asahikawa,Hokkaido
1205,"Muroran, Hokkaido",Hokkaido
1206,"Kushiro, Hokkaido",Hokkaido
1207,"Obihiro, Hokkaido",Hokkaido
1208,"Kitami, Hokkaido",Hokkaido
1209,"Yubari, Hokkaido",Hokkaido
1210,"Iwamizawa, Hokkaido",Hokkaido
1211,Abashiri,Hokkaido
1212,"Rumoi, Hokkaido",Hokkaido
1213,"Tomakomai, Hokkaido",Hokkaido
1214,"Wakkanai, Hokkaido",Hokkaido
1215,"Bibai, Hokkaido",Hokkaido
1216,"Ashibetsu, Hokkaido",Hokkaido
1217,"Ebetsu, Hokkaido",Hokkaido
1218,"Akabira, Hokkaido",Hokkaido
1219,"Monbetsu, Hokkaido",Hokkaido
1220,"Shibetsu, Hokkaido",Hokkaido
1221,"Nayoro, Hokkaido",Hokkaido
1222,"Mikasa, Hokkaido",Hokkaido
1223,"Nemuro, Hokkaido",Hokkaido
1224,"Chitose, Hokkaido",Hokkaido
1225,"Takikawa, Hokkaido",Hokkaido
1226,"Sunagawa, Hokkaido",Hokkaido
1227,"Utashinai, Hokkaido",Hokkaido
1228,"Fukagawa, Hokkaido",Hokkaido
1229,"Furano, Hokkaido",Hokkaido
1230,Noboribetsu,Hokkaido
1231,"Eniwa, Hokkaido",Hokkaido
1233,"Date, Hokkaido",Hokkaido
1234,"Kitahiroshima, Hokkaido",Hokkaido
1235,"Ishikari, Hokkaido",Hokkaido
1236,"Hokuto, Hokkaido",Hokkaido
1303,"Tobetsu, Hokkaido",Hokkaido
1304,"Shinshinotsu, Hokkaido",Hokkaido
1331,"Matsumae, Hokkaido",Hokkaido
1332,"Fukushima, Hokkaido",Hokkaido
1333,"Shiriuchi, Hokkaido",Hokkaido
1334,"Kikonai, Hokkaido",Hokkaido
1337,"Nanae, Hokkaido",Hokkaido
1343,"Shikabe, Hokkaido",Hokkaido
1345,"Mori, Hokkaido",Hokkaido
1346,"Yakumo, Hokkaido",Hokkaido
1347,"Oshamambe, Hokkaido",Hokkaido
1361,"Esashi, Hokkaido (Hiyama)",Hokkaido
1362,"Kaminokuni, Hokkaido",Hokkaido
1363,"Assabu, Hokkaido",Hokkaido
1364,"Otobe, Hokkaido",Hokkaido
1367,"Okushiri, Hokkaido",Hokkaido
1370,"Imakane, Hokkaido",Hokkaido
1371,"Setana, Hokkaido",Hokkaido
